id,text,source,platform,assistant_name,topic,sentiment_label,trust_level,usefulness_label,date_collecte,url_source
P001,"User describes Layla as a game changer for travel planning — like having a super-organized travel buddy that always has great suggestions and keeps everything on track.",Trustpilot (public review),layla.ai,Layla AI,usefulness,positive,high,high,2025-03-01,https://www.trustpilot.com/review/layla.ai
P002,"Reviewer reports losing a fully built itinerary after one day — paid for premium export, but the AI scrambled dates and destinations. Called it unusable.",Trustpilot (public review),layla.ai,Layla AI,accuracy,negative,low,low,2025-03-01,https://www.trustpilot.com/review/layla.ai
P003,"User used Layla to plan a Japan trip and loved it — curated video guides for hidden gems and a clear city-to-city route that matched exactly what was needed.",Trustpilot (public review),layla.ai,Layla AI,planning_help,positive,high,high,2025-03-01,https://www.trustpilot.com/review/layla.ai?page=2
P004,"Independent reviewer notes Layla performs live web search unlike cutoff-date competitors — correctly identified entry rules and dress codes for Hagia Sophia in a 2026 family trip test.",aitravel.tools (review blog),layla.ai,Layla AI,accuracy,positive,high,high,2026-03-10,https://aitravel.tools/layla-ai-review/
P005,"Reviewer finds Layla asks clarifying questions before generating a plan — a more guided approach than tools that assume details. Called it a fundamental difference in experience.",aitravel.tools (review blog),layla.ai,Layla AI,personalization,positive,medium,high,2026-03-10,https://aitravel.tools/layla-ai-review/
P006,"A date logic bug was caught during testing: Layla scheduled day 1 activities for an evening when the user was still in their origin city. The AI did not account for overnight arrival timing.",aitravel.tools (review blog),layla.ai,Layla AI,accuracy,negative,low,medium,2026-03-10,https://aitravel.tools/layla-ai-review/
P007,"Blogger compares Layla to three other AI planners on a Devon and Cornwall itinerary — finds the output the most basic of all three, almost useless, with no real transport links.",justgonewandering.com (travel blog),layla.ai,Layla AI,generic_recommendations,negative,low,low,2024-11-01,https://justgonewandering.com/ai-travel-planning-chatgpt-layla-guidegeek/
P008,"Comparative test shows Layla generates maps and itinerary cards but hides full day-by-day details behind a paywall. Free tier feels limited for serious trip planning.",practicalglobetrotters.substack.com,layla.ai,Layla AI,planning_help,neutral,medium,medium,2025-08-23,https://practicalglobetrotters.substack.com/p/we-tested-4-ai-travel-services-to
P009,"A user who planned a destination wedding in Bulgaria says Layla was a lifesaver — helped narrow down hotels and figure out the best route without knowing where to start.",Trustpilot (public review),layla.ai,Layla AI,planning_help,positive,high,high,2025-03-01,https://www.trustpilot.com/review/layla.ai
P010,"User notes Layla is good for exploring possibilities but not yet reliable enough for complete trip planning. Describes it as a promising but imperfect tool.",Trustpilot (public review),layla.ai,Layla AI,usefulness,neutral,medium,medium,2025-03-01,https://www.trustpilot.com/review/layla.ai
P011,"App Store reviewer calls Mindtrip the one travel app to rule them all — praises the UX/UI as brilliant and the blend of local and long-distance planning as seamless.",Apple App Store (public review),mindtrip.ai,Mindtrip,usefulness,positive,high,high,2025-06-01,https://apps.apple.com/us/app/mindtrip-ai-travel-companion/id6503107567
P012,"Family traveler used Mindtrip to refresh a recurring Florida trip — the AI suggested many new activities the family had not considered, reinvigorating a stale annual holiday.",Apple App Store (public review),mindtrip.ai,Mindtrip,personalization,positive,high,high,2025-07-07,https://apps.apple.com/us/app/mindtrip-ai-travel-companion/id6503107567
P013,"Reviewer describes Mindtrip as the most sophisticated AI plan-and-book tool tested — highlights live hotel maps, scrollable booking lists, and an auto-updating itinerary as standout features.",AFAR Magazine,mindtrip.ai,Mindtrip,planning_help,positive,high,high,2025-05-02,https://www.afar.com/magazine/we-tested-ai-travel-planning-apps-here-are-the-3-that-actually-worked
P014,"During a booking test, Mindtrip incorrectly flagged trip dates as in the past. The chatbot also failed to handle a combined downtown and under-$300 hotel request.",AFAR Magazine,mindtrip.ai,Mindtrip,accuracy,negative,low,medium,2025-05-02,https://www.afar.com/magazine/we-tested-ai-travel-planning-apps-here-are-the-3-that-actually-worked
P015,"Mindtrip's Start Anywhere feature lets users paste a YouTube link or TikTok clip and get a full itinerary extracted from that content. Reviewers call it genuinely unique and impressive.",aitravel.tools (review blog),mindtrip.ai,Mindtrip,personalization,positive,high,high,2026-04-15,https://aitravel.tools/mindtrip-review/
P016,"Mindtrip flagged a critical visit condition — tidal access to Mont Saint-Michel — that many AI planners miss entirely. Seen as a meaningful accuracy advantage for safety-relevant details.",aitravel.tools (review blog),mindtrip.ai,Mindtrip,accuracy,positive,high,high,2026-04-15,https://aitravel.tools/mindtrip-review/
P017,"Review notes Mindtrip estimated activity costs 20-30% above real prices, clearly labeled as estimates. Seen as transparent but misleading for budget planning.",aitravel.tools (review blog),mindtrip.ai,Mindtrip,accuracy,neutral,medium,medium,2026-04-15,https://aitravel.tools/mindtrip-review/
P018,"Mindtrip excels at structured hour-by-hour itineraries with mapped locations but failed to handle multi-city flights from separate origin cities. Great for planning activities, weak on booking.",imean.ai (comparison review),mindtrip.ai,Mindtrip,planning_help,neutral,medium,medium,2025-10-28,https://www.imean.ai/blog/articles/i-tested-5-top-ai-travel-tools-with-the-same-complex-request-heres-who-actually-delivered/
P019,"Mindtrip named to Fast Company's Most Innovative Companies 2025 list. Reached nearly 350,000 monthly US visitors within five to six months of launch, signalling rapid user adoption.",localsinsider.com (review),mindtrip.ai,Mindtrip,usefulness,positive,high,high,2025-12-15,https://localsinsider.com/apps/ai-travel-planners/
P020,"Tech reviewer praises Mindtrip's community guide feature — real users with profiles share curated destination guides that can be followed, adding a trust layer missing from generic AI output.",aitravel.tools (review blog),mindtrip.ai,Mindtrip,trust,positive,high,high,2026-04-15,https://aitravel.tools/mindtrip-review/
P021,"Tripadvisor's AI assistant is built on over one billion real traveler reviews, grounding its recommendations in community-sourced data rather than generic training content.",Tripadvisor Tech / Medium (official),tripadvisor.com,Tripadvisor AI Trip Builder,trust,positive,high,high,2025-05-06,https://medium.com/tripadvisor/meet-the-tripadvisor-ai-assistant-your-ultimate-trip-planning-companion-244d4f6eba28
P022,"Tripadvisor keeps human reviewers in the loop to validate AI text outputs and check brand compliance — seen as a responsible hybrid model compared to fully automated AI planners.",domino.ai (industry blog),tripadvisor.com,Tripadvisor AI Trip Builder,trust,positive,high,high,2024-10-23,https://domino.ai/blog/tripadvisor-ai-trip-builder
P023,"A concern raised by travel media is that Tripadvisor's AI recommendations may reflect the bias of popular or heavily reviewed businesses, potentially disadvantaging smaller or newer venues.",industry commentary (general),tripadvisor.com,Tripadvisor AI Trip Builder,generic_recommendations,neutral,medium,medium,2025-01-01,https://domino.ai/blog/tripadvisor-ai-trip-builder
P024,"Tripadvisor removed 214,000 AI-generated reviews in 2024 to prevent a sea of sameness. Its proactive stance on AI content authenticity is cited as a trust differentiator by media.",PR Newswire / Tripadvisor official,tripadvisor.com,Tripadvisor AI Trip Builder,trust,positive,high,high,2025-03-18,https://www.prnewswire.com/news-releases/tripadvisors-2025-transparency-report-reveals-strong-review-submissions-and-improved-fraud-detection-302403631.html
P025,"A research study found that approximately 10.7% of hotel reviews on Tripadvisor in 2024 were likely AI-generated, raising questions about the reliability of the data powering the AI Trip Builder.",Originality.AI (research analysis),tripadvisor.com,Tripadvisor AI Trip Builder,accuracy,negative,medium,medium,2025-12-11,https://originality.ai/blog/ai-tripadvisor-reviews-study
P026,"Tripadvisor's AI trip builder currently focuses on recommendations and itineraries but does not yet support non-English languages — seen as a gap for international users.",Tripadvisor Tech / Medium (official),tripadvisor.com,Tripadvisor AI Trip Builder,usefulness,neutral,medium,medium,2025-05-06,https://medium.com/tripadvisor/meet-the-tripadvisor-ai-assistant-your-ultimate-trip-planning-companion-244d4f6eba28
P027,"Traveler community engagement on Tripadvisor is very high — over 11 million business responses and 2.6 million forum posts in 2024, which feeds the AI with diverse, active content.",Tripadvisor 2025 Transparency Report (official),tripadvisor.com,Tripadvisor AI Trip Builder,personalization,positive,high,high,2025-03-18,https://tripadvisor.mediaroom.com/2025-03-18-Tripadvisors-2025-Transparency-Report-reveals-strong-review-submissions-and-improved-fraud-detection
P028,"Travelers value Tripadvisor as a trusted guidance platform, but some question whether an AI that summarizes reviews is truly different from reading the reviews themselves.",general media commentary,tripadvisor.com,Tripadvisor AI Trip Builder,usefulness,neutral,medium,medium,2025-06-01,https://medium.com/tripadvisor/meet-the-tripadvisor-ai-assistant-your-ultimate-trip-planning-companion-244d4f6eba28
P029,"KAYAK launched AI Mode in October 2025, making it the first major travel site to integrate natural-language conversational search directly on its homepage powered by ChatGPT.",KAYAK official press release,kayak.com,KAYAK AI,planning_help,positive,high,high,2025-10-15,https://www.kayak.com/news/ai-mode/
P030,"A reviewer tests KAYAK.ai (public beta) and finds it struggling with a simple request — misinterpreting a budget constraint and returning a wrong hotel type. Called it too early to be useful.",Vice / independent review,kayak.com,KAYAK AI,accuracy,negative,low,low,2025-08-28,https://www.vice.com/en/article/kayak-ai-beta-test/
P031,"KAYAK's own research found travelers don't need more information — they need reassurance. KAYAK AI Mode is framed as a stress-reduction tool rather than an information aggregator.",ALM Corp (marketing analysis),kayak.com,KAYAK AI,usefulness,positive,medium,medium,2026-02-27,https://almcorp.com/blog/kayak-got-that-right-campaign-travel-booking-anxiety/
P032,"A NerdWallet review flags that KAYAK redirects users to third-party sites for booking — creating confusion about who is responsible if something goes wrong, and raising security concerns.",NerdWallet (consumer finance review),kayak.com,KAYAK AI,booking_fear,negative,low,medium,2025-01-01,https://www.nerdwallet.com/travel/learn/kayak-flights-pros-cons
P033,"A survey found that 35% of travelers believe AI is most helpful for comparing flight and hotel prices — the core use case KAYAK AI serves — but not yet trusted for full trip planning.",Takeup.ai survey (January 2026),kayak.com,KAYAK AI,trust,neutral,medium,medium,2026-01-01,https://almcorp.com/blog/kayak-got-that-right-campaign-travel-booking-anxiety/
P034,"KAYAK is ranked the number one best airfare search site by Frommer's for 2025 and has won the World's Best Flight Comparison Website award three consecutive years (2022-2024).",KAYAK official company page,kayak.com,KAYAK AI,trust,positive,high,high,2025-01-01,https://www.kayak.com/c/help/about/
P035,"Skift notes that KAYAK.ai is easy to use and works without too many glitches, but the main challenge is getting travelers to actually adopt it as their primary planning tool.",Skift (travel industry media),kayak.com,KAYAK AI,usefulness,neutral,medium,medium,2025-10-16,https://skift.com/2025/05/28/can-kayak-ai-solve-travels-complex-problems-heres-how-it-works/
P036,"Expedia Group research reveals a sharp AI trust gap: 53% of travelers are comfortable letting AI suggest travel options, but only 8% are comfortable booking through an AI platform.",Expedia Group official report (The AI Trust Gap),expedia.com,Expedia AI / ChatGPT,booking_fear,negative,low,medium,2026-04-14,https://www.businesswire.com/news/home/20260414532485/en/Expedia-Group-Reveals-The-AI-Trust-Gap-Travelers-Embrace-AI-for-Planning-but-Rely-on-Trusted-Brands-to-Book
P037,"Two thirds of travelers (66%) say they would not trust an AI assistant to buy or book anything on their behalf — even when AI booking is available — preferring trusted travel brands instead.",Expedia Group AI Trust Gap report (official),expedia.com,Expedia AI / ChatGPT,trust,negative,low,medium,2026-04-14,https://partner.expediagroup.com/en-us/resources/blog/ai-trust-gap-why-travelers-continue-to-choose-trusted-brands
P038,"Expedia's AI chatbot (Romie) can be added to iMessage or WhatsApp group chats to help plan group trips collaboratively — a feature praised for reducing back-and-forth among friends.",TechCrunch (tech news),expedia.com,Expedia AI / ChatGPT,planning_help,positive,medium,high,2024-05-14,https://techcrunch.com/2024/05/14/expedia-starts-testing-ai-powered-features-for-search-and-travel-planning/
P039,"A comparative review finds ChatGPT (used via KAYAK plugin) produces the most detailed itineraries of all tools tested — including estimated travel times, public transport operators, and links.",justgonewandering.com (travel blog),expedia.com,Expedia AI / ChatGPT,planning_help,positive,high,high,2024-11-01,https://justgonewandering.com/ai-travel-planning-chatgpt-layla-guidegeek/
P040,"Expedia's AI features were found to produce vague, broad day-block suggestions in a Japan trip comparison — noticeably less detailed than Layla or Mindtrip. Export lost all formatting.",practicalglobetrotters.substack.com,expedia.com,Expedia AI / ChatGPT,generic_recommendations,negative,medium,low,2025-08-23,https://practicalglobetrotters.substack.com/p/we-tested-4-ai-travel-services-to
P041,"A peer-reviewed study of 900 consumers found that many chose AI-generated travel itineraries with errors over other sources — because they trusted AI to be more impartial and personalized.",Current Issues in Tourism (academic journal),expedia.com,Expedia AI / ChatGPT,trust,neutral,medium,medium,2025-01-01,https://ideas.repec.org/a/taf/rcitxx/v28y2025i4p545-560.html
P042,"Expedia states that AI chatbots excel at low-stakes tasks like inspiration, but cannot call a hotel at 2am or rebook after a cancellation — only a trusted travel brand can provide that accountability.",Expedia Group partner blog (official),expedia.com,Expedia AI / ChatGPT,booking_fear,negative,medium,medium,2026-04-14,https://partner.expediagroup.com/en-us/resources/blog/ai-trust-gap-why-travelers-continue-to-choose-trusted-brands
P043,"A blogger used ChatGPT to plan a last-minute Germany road trip in seconds — the AI provided a day-by-day plan with distances, city stops, hotel and activity suggestions. Described as a stress reliever.",RSM Digital Strategy blog,expedia.com,Expedia AI / ChatGPT,time_saving,positive,high,high,2025-09-28,https://digitalstrategy.rsm.nl/2025/09/28/planning-my-holiday-with-chatgpt
P044,"A research review highlights that ChatGPT can generate itineraries containing false transport hours, non-existent venues, and implausible day routes — a safety risk for travelers who rely on them.",windowsforum.com (research summary),expedia.com,Expedia AI / ChatGPT,accuracy,negative,low,medium,2025-01-01,https://windowsforum.com/threads/ai-travel-planning-risks-hallucinations-safety-and-smart-use-guidelines.386487/
P045,"Google AI Overviews now generate vacation itineraries directly from a single search prompt — complete with photos, reviews, and an expandable map embedded in results.",rollingout.com (tech coverage),google.com,Google AI Travel Planning,planning_help,positive,high,high,2025-03-29,https://rollingout.com/2025/03/29/google-ai-travel-planning-feature-search/
P046,"Google Gemini connects seamlessly with Google Flights and Hotels, letting users describe their ideal stay in natural language and receive real-time options without switching between tabs.",Google Gemini official product page,google.com,Google AI Travel Planning,time_saving,positive,high,high,2025-03-27,https://gemini.google/discover/ai-trip-planner/
P047,"Media analysis notes that Google's travel AI integration across Search, Maps, and Gemini creates a closed ecosystem advantage that dedicated travel platforms like Expedia and KAYAK cannot replicate.",techbuzz.ai (tech analysis),google.com,Google AI Travel Planning,usefulness,positive,high,high,2025-11-17,https://www.techbuzz.ai/articles/google-s-ai-mode-canvas-makes-travel-planning-visual
P048,"Google's agentic booking feature handles restaurant reservations via OpenTable, Resy, and Tock — moving from inspiration to completed booking without leaving the Google environment.",techbuzz.ai (tech analysis),google.com,Google AI Travel Planning,booking_fear,positive,medium,high,2025-11-17,https://www.techbuzz.ai/articles/google-s-ai-mode-canvas-makes-travel-planning-visual
P049,"AFAR reviewer found that Google Gemini needed to be specifically prompted to offer booking links, and even then provided a list of booking options rather than a seamless integrated flow.",AFAR Magazine,google.com,Google AI Travel Planning,usefulness,neutral,medium,medium,2025-05-02,https://www.afar.com/magazine/we-tested-ai-travel-planning-apps-here-are-the-3-that-actually-worked
P050,"A YouGov study shows AI comfort for trip planning dropped from 32% to 30% among US travelers between 2024 and 2025, while discomfort stayed flat at 40% — suggesting stalled adoption across all platforms.",YouGov (public research),general,General AI Travel Assistants,trust,neutral,low,medium,2025-08-14,https://yougov.com/en-us/articles/52770-comfort-with-ai-in-travel-planning-dips-among-younger-americans
